t,I_L,I_R,Isx_L,Isy_L,Isz_L,Isx_R,Isy_R,Isz_R,S1_x_site2,S1_y_site2,S1_z_site2,S2_x_site4,S2_y_site4,S2_z_site4,S3_x_site6,S3_y_site6,S3_z_site6,S4_x_site8,S4_y_site8,S4_z_site8,S5_x_site10,S5_y_site10,S5_z_site10,S6_x_site12,S6_y_site12,S6_z_site12,S7_x_site14,S7_y_site14,S7_z_site14,S8_x_site16,S8_y_site16,S8_z_site16,S9_x_site18,S9_y_site18,S9_z_site18,S10_x_site20,S10_y_site20,S10_z_site20,S11_x_site22,S11_y_site22,S11_z_site22,S12_x_site24,S12_y_site24,S12_z_site24,S13_x_site26,S13_y_site26,S13_z_site26,S14_x_site28,S14_y_site28,S14_z_site28,S15_x_site30,S15_y_site30,S15_z_site30,S16_x_site32,S16_y_site32,S16_z_site32
0.1,0.09900472632716825,-0.09900472632716825,-2.8728072175488186e-21,0.0,0.0,-2.4484833938398815e-21,-0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.2,0.1921575205648257,-0.1921575205648257,-0.00013589208193738402,9.147955830346444e-20,0.0,-0.00013589208193738397,8.74138001566438e-19,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2282403274299405e-29,4.456480654859881e-29,1.0,-3.5504755380479426e-23,-7.100951076095885e-23,1.0
0.30000000000000004,0.27419323201248713,-0.27419323201248713,-0.0007092930492266995,1.5449880957918438e-18,2.7755575615628914e-17,-0.0007092930492267006,3.848917712323541e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,-7.586755422446107e-38,-3.8580611472546546e-38,1.0,-5.318169515303313e-32,5.468110417753219e-32,1.0,-5.595411457786938e-26,-7.17527993838016e-26,1.0,-5.267328510136423e-21,4.423106369268617e-22,1.0
0.4,0.3409480520031813,-0.3409480520031813,-0.0018624379420971021,1.463672932855431e-18,0.0,-0.0018624379420971021,1.6263032587282567e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.988803494018195e-49,7.658564666034868e-48,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,2.4568384509107146e-41,7.206111038294915e-42,1.0,-4.2234640291239077e-35,-3.953190761307935e-35,1.0,1.5619991382368423e-29,2.3981661701284834e-29,1.0,1.0455583552831223e-25,1.4925276080437156e-24,1.0,-4.3475849508626206e-20,2.5776223045212485e-20,1.0
0.5,0.3897408708016943,-0.38974087080169423,-0.0035051256402215698,-1.951563910473908e-18,0.0,-0.003505125640221571,-2.168404344971009e-18,5.551115123125783e-17,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.9500548298105594e-46,2.700614562999667e-44,1.0,-2.127898224071894e-51,-4.642179234637484e-51,1.0,-1.7210008461337438e-57,-1.8561626613449058e-57,1.0,-1.9851410713119713e-58,1.2487546234561029e-57,1.0,1.402287584798941e-50,1.5772811000580638e-50,1.0,0.0,-0.0,1.0,-2.5472007205225963e-39,-6.326241658195006e-39,1.0,2.431037639736489e-33,7.125985900668949e-33,1.0,-1.3989460627329123e-28,6.009905087822075e-28,1.0,-3.5614070667418224e-23,5.666365492661866e-23,1.0,-1.5760514106088244e-19,1.5233471417552147e-19,1.0
0.6,0.41957849220814036,-0.41957849220814036,-0.005272350690313397,-3.2526065174565133e-18,0.0,-0.005272350690313395,-2.3852447794681098e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.3593706340312745e-42,-3.281553858067023e-42,1.0,-6.694111221079825e-48,1.7910317825081598e-48,1.0,-1.8523648290648828e-54,1.0170993103749817e-54,1.0,2.2255197724033234e-54,1.360931695104501e-53,1.0,-3.2552790339248685e-48,-4.3574564022044654e-48,1.0,0.0,-0.0,1.0,-5.435028387815084e-37,-3.1804193362311174e-37,1.0,-1.250680459762156e-31,3.199734665263874e-32,1.0,-9.997209032306961e-27,-1.5618133584191963e-26,1.0,-1.852319973085277e-23,5.341632501978462e-22,1.0,-3.957142355345213e-19,-4.0193871809416864e-20,1.0
0.7,0.4311637725701601,-0.4311637725701601,-0.00655602104362393,-6.071532165918825e-18,0.0,-0.006556021043623928,-2.168404344971009e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.320477177090634e-40,1.6382666173738949e-40,1.0,4.301057653666166e-47,1.7659430168667952e-45,1.0,-2.119429076995064e-51,-2.6428115946636888e-51,1.0,1.453851035386882e-51,2.0990460898730664e-51,1.0,3.402096819439889e-47,-5.665296570945265e-47,1.0,0.0,-0.0,1.0,2.2487220618930015e-35,4.266644043639939e-35,1.0,-4.871580976912947e-31,1.0883561414813057e-30,1.0,-1.7960629656960187e-25,-9.430492183993076e-26,1.0,4.937210969034463e-23,1.7751689650525602e-21,1.0,-6.153688537139443e-19,-9.970792108183428e-20,1.0
0.7999999999999999,0.42671202322508317,-0.42671202322508317,-0.006593756339777497,-6.938893903907228e-18,-2.7755575615628914e-17,-0.006593756339777491,-8.673617379884035e-19,-2.7755575615628914e-17,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.6147598031163157e-38,-1.0763508245111262e-38,1.0,-1.0136832416503838e-43,3.8756423649381817e-44,1.0,-4.842969144378208e-50,4.2680931697158475e-49,1.0,-2.9159254351456315e-49,-6.394838856926546e-49,1.0,-1.0423200630218854e-43,-2.336722404661437e-43,1.0,0.0,-0.0,1.0,-1.0874063632043898e-33,-1.3928223075613784e-33,1.0,-6.0153978277428284e-30,4.6894727530527574e-29,1.0,-1.1657337519752914e-24,-6.321722756727827e-25,1.0,2.8642109956260126e-22,5.303483078562899e-21,1.0,-6.18210837792972e-19,1.9985514333419832e-19,1.0
0.8999999999999999,0.4096055513989475,-0.40960555139894755,-0.004593853018105067,-7.806255641895632e-18,-2.7755575615628914e-17,-0.004593853018105066,8.673617379884035e-19,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.67188149565191e-37,2.0246280467165727e-36,1.0,-5.6791439221990166e-42,-1.4885535347536318e-43,1.0,-5.997652500957274e-47,-5.924682433633286e-47,1.0,4.397292928630152e-47,5.8724205427438275e-47,1.0,5.045484524372648e-42,8.717709701888429e-42,1.0,0.0,-0.0,1.0,-1.0912552732013542e-32,-3.816543974294516e-33,1.0,3.6905566724732947e-28,1.2388816430878604e-27,1.0,-1.0540695097784826e-23,-7.26790872789334e-24,1.0,1.0958813559365659e-21,1.744045718450436e-20,1.0,-4.0335169601750395e-19,4.371553379248539e-19,1.0
0.9999999999999999,0.3839361327746849,-0.38393613277468486,0.00012675820455933587,-1.734723475976807e-18,-5.551115123125783e-17,0.00012675820455933413,-0.0,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-3.975899567760435e-37,8.307911259019036e-36,1.0,-3.4972128320179666e-40,-5.4379049297518224e-40,1.0,-4.507130931307491e-46,8.254764241741934e-46,1.0,-3.123963678807091e-46,-9.585085118634761e-46,1.0,5.322877555805007e-41,1.3757518394329886e-40,1.0,0.0,-0.0,1.0,-3.035605077861792e-31,-2.8429973055428108e-31,1.0,-6.620910145018527e-29,3.247211989370139e-27,1.0,-3.1415620948591325e-23,-1.2461757178461845e-23,1.0,6.6916383688337296e-21,4.201271954129704e-20,1.0,-2.842114640576525e-19,4.722851631596357e-19,1.0
